dataset,parameter,count,mean,std,min,25%,50%,75%,max
Folke 2016,gamma,24.0,-0.017083333333333336,0.2828039598558424,-0.5,-0.25,-0.025,0.20750000000000002,0.46
Folke 2016,s,24.0,0.005779166666666668,0.001033623961000142,0.0037310000000000004,0.005231749999999999,0.0057680000000000006,0.006359,0.008873
Folke 2016,tau,24.0,1.7529166666666665,1.0803360152272539,0.39,1.0775000000000001,1.49,2.145,4.63
Folke 2016,v,24.0,2.5500000000000007e-05,8.140077982747916e-06,1.7e-05,1.9750000000000002e-05,2.2499999999999998e-05,2.95e-05,5.3e-05
Krajbich 2010,gamma,39.0,0.2628205128205127,0.4841973755768607,-0.89,-0.07,0.23,0.675,0.97
Krajbich 2010,s,39.0,0.008593615384615385,0.0017444728900064945,0.004862,0.0072655,0.008806,0.009685,0.01257
Krajbich 2010,tau,39.0,0.583076923076923,0.38687107771094853,0.01,0.3,0.49,0.84,1.75
Krajbich 2010,v,39.0,7.815384615384615e-05,3.2978093575439527e-05,2.4e-05,5.35e-05,7.8e-05,9.4e-05,0.000164
Krajbich 2011,gamma,30.0,0.179,0.40834696200573156,-1.03,-0.07,0.305,0.46249999999999997,0.81
Krajbich 2011,s,30.0,0.007723666666666669,0.0014503249893429557,0.00514,0.0066949999999999996,0.00754,0.008579,0.01144
Krajbich 2011,tau,30.0,0.9010000000000001,0.8405513379467894,0.22,0.4625,0.74,1.1099999999999999,4.82
Krajbich 2011,v,30.0,6.713333333333334e-05,3.250754112333102e-05,2e-05,4.45e-05,6.3e-05,7.675e-05,0.000157
Tavares 2017,gamma,25.0,0.08040000000000001,0.23055151268209023,-0.36,0.0,0.08,0.19,0.56
Tavares 2017,s,25.0,0.011493759999999999,0.0016551214527439771,0.007276,0.010865999999999999,0.011448999999999999,0.012043,0.014355000000000001
Tavares 2017,tau,25.0,0.5159999999999999,0.23895606290697044,0.11,0.33,0.49,0.71,0.93
Tavares 2017,v,25.0,8.571999999999999e-05,2.9300910111007364e-05,4.2e-05,5.6999999999999996e-05,9.1e-05,0.00010400000000000001,0.00014
